Well,DEPTH,GR,DT,NPHI,RHOB
IJS-57,849.0,74.575516,414.6412,0.288735,2.058499
IJS-57,849.1,73.81955,411.5503,0.282594,2.04546
IJS-57,849.2,73.816254,408.1499,0.279398,2.035255
IJS-57,849.3,74.377899,404.878,0.277913,2.028767
IJS-57,849.4,75.198715,402.2928,0.276066,2.026355
IJS-57,849.5,75.925919,400.7795,0.273521,2.027198
IJS-57,849.6,76.23085,400.522,0.2719,2.029838
IJS-57,849.7,75.985138,401.448,0.272636,2.032872
IJS-57,849.8,75.260757,403.2313,0.275447,2.035524
IJS-57,849.9,74.372192,405.4031,0.278437,2.038042
IJS-57,850.0,73.762527,407.5733,0.279777,2.041695
IJS-57,850.1,73.738342,409.3867,0.278783,2.047813
IJS-57,850.2,74.114166,410.5045,0.276082,2.056701
IJS-57,850.3,74.221512,410.691,0.272132,2.067618
IJS-57,850.4,73.340836,409.7902,0.266698,2.078564
IJS-57,850.5,71.33931,407.7656,0.259435,2.087705
IJS-57,850.6,68.945007,404.7976,0.250895,2.09415
IJS-57,850.7,67.365082,401.3679,0.243088,2.097716
IJS-57,850.8,67.468048,398.0116,0.238546,2.098927
IJS-57,850.9,69.454956,395.26,0.239314,2.098476
IJS-57,851.0,72.69194,393.4856,0.245496,2.09716
IJS-57,851.1,76.080185,392.6424,0.255283,2.095858
IJS-57,851.2,78.501358,392.3922,0.266035,2.095339
IJS-57,851.3,79.303238,392.2542,0.274958,2.095957
IJS-57,851.4,78.584061,391.7699,0.279817,2.097696
IJS-57,851.5,76.83728,390.5918,0.279004,2.100539
IJS-57,851.6,74.57811,388.471,0.273672,2.104878
IJS-57,851.7,72.224289,385.3475,0.267213,2.110943
IJS-57,851.8,70.076538,381.6562,0.263578,2.117691
IJS-57,851.9,68.101547,378.1119,0.265019,2.121853
IJS-57,852.0,66.207047,375.6207,0.271827,2.117688
IJS-57,852.1,64.568283,375.0084,0.283523,2.100835
IJS-57,852.2,63.592072,376.5242,0.297491,2.071787
IJS-57,852.3,63.743706,379.729,0.308777,2.036694
IJS-57,852.4,65.099792,383.6032,0.313963,2.003817
IJS-57,852.5,67.293701,386.9752,0.311996,1.979474
IJS-57,852.6,69.675217,388.9434,0.303892,1.966983
IJS-57,852.7,71.779999,389.4651,0.29194,1.965887
IJS-57,852.8,73.422974,389.1241,0.279194,1.974929
IJS-57,852.9,74.636688,388.7612,0.26852,1.992318
IJS-57,853.0,75.542084,388.9878,0.261329,2.01648
IJS-57,853.1,76.021423,389.9793,0.258868,2.046176
IJS-57,853.2,75.798294,391.3833,0.260792,2.080493
IJS-57,853.3,74.652435,392.4293,0.264777,2.119104
IJS-57,853.4,72.651062,392.1409,0.267451,2.159443
IJS-57,853.5,70.234955,389.7997,0.265805,2.198933
IJS-57,853.6,68.115982,385.1843,0.25852,2.232618
