DEPTH,POROSITY,HOR_PERMEABILITY,VERT_PERMEABILITY,GRAIN_DENSITY,FORMATION_FACTOR,NITG_NR,UWI,SHORT_NM,ANALYSIS_NR,CORE_NR,LAB,LAB_NR,LAB_REPORT_DATE,REMARK,TOP_STRAT,BOTTOM_STRAT,STRAT_UNIT_CD,STRAT_UNIT_NM
1024.0000,20.7000,12.0000,,2.6500,,B37H0712,1461,IJS-57,K-0086,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1024.3000,27.8000,190.0000,,2.6500,,B37H0712,1461,IJS-57,K-0087,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1024.9000,25.4000,140.0000,,2.6600,,B37H0712,1461,IJS-57,K-0088,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1025.1000,27.1000,240.0000,,2.6500,,B37H0712,1461,IJS-57,K-0089,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1025.5000,23.7000,86.0000,,2.6600,,B37H0712,1461,IJS-57,K-0090,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1026.3000,26.0000,340.0000,,2.6700,,B37H0712,1461,IJS-57,K-0091,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1030.3000,29.0000,490.0000,,2.6500,,B37H0712,1461,IJS-57,K-0092,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1030.6000,25.9000,150.0000,,2.6500,,B37H0712,1461,IJS-57,K-0093,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1030.9000,28.1000,190.0000,,2.6600,,B37H0712,1461,IJS-57,K-0094,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1031.3000,5.9000,87.0000,,3.1100,,B37H0712,1461,IJS-57,K-0095,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1031.6000,34.5000,850.0000,,2.6600,,B37H0712,1461,IJS-57,K-0096,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1031.8000,32.0000,780.0000,,,,B37H0712,1461,IJS-57,K-0096A,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1032.1000,28.4000,430.0000,,2.6500,,B37H0712,1461,IJS-57,K-0097,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1032.5000,20.4000,15.0000,,2.6800,,B37H0712,1461,IJS-57,K-0098,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1032.8000,24.0000,110.0000,,2.6500,,B37H0712,1461,IJS-57,K-0099,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1033.3000,27.0000,390.0000,,2.6500,,B37H0712,1461,IJS-57,K-0100,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1033.6000,24.7000,120.0000,,2.6400,,B37H0712,1461,IJS-57,K-0101,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1034.1000,24.4000,40.0000,,2.6600,,B37H0712,1461,IJS-57,K-0102,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1034.7000,27.3000,370.0000,,2.7200,,B37H0712,1461,IJS-57,K-0103,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1035.3000,25.5000,220.0000,,2.6500,,B37H0712,1461,IJS-57,K-0104,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1035.8000,23.9000,130.0000,,2.6500,,B37H0712,1461,IJS-57,K-0105,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1036.2000,24.4000,210.0000,,2.6600,,B37H0712,1461,IJS-57,K-0106,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1036.5000,20.2000,58.0000,,2.6700,,B37H0712,1461,IJS-57,K-0107,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1036.8000,20.7000,34.0000,,2.6600,,B37H0712,1461,IJS-57,K-0108,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1037.2000,27.3000,150.0000,,2.6500,,B37H0712,1461,IJS-57,K-0109,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1037.5000,23.7000,160.0000,,2.6500,,B37H0712,1461,IJS-57,K-0110,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1037.9000,26.8000,410.0000,,2.6500,,B37H0712,1461,IJS-57,K-0111,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1038.3000,27.5000,160.0000,,2.6500,,B37H0712,1461,IJS-57,K-0112,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1038.6000,29.4000,400.0000,,2.6500,,B37H0712,1461,IJS-57,K-0113,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
